ID,Topic,Question,Option A,Option B,Option C,Option D,Correct Letter,Correct Index,Active,Notes
1,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,Example
2,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,Avoid leading hints
3,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,Example
4,Algebra,What is x if x + 5 = 10?,4,5,6,7,B,1,Yes,
5,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
6,Number,What is 6 + 19?,23,24,25,26,C,2,Yes,
7,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
8,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
9,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
10,Algebra,What is x if x + 8 = 16?,7,8,9,10,B,1,Yes,
11,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
12,Number,What is 19 + 16?,33,34,35,36,C,2,Yes,
13,Number,What is 3 + 9?,10,11,12,13,C,2,Yes,
14,Number,What is 16 + 2?,16,17,18,19,C,2,Yes,
15,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
16,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
17,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
18,Number,What is 3 + 7?,8,9,10,11,C,2,Yes,
19,Algebra,What is x if x + 10 = 20?,9,10,11,12,B,1,Yes,
20,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
21,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
22,Number,What is 15 + 19?,32,33,34,35,C,2,Yes,
23,Number,What is 3 + 7?,8,9,10,11,C,2,Yes,
24,Algebra,What is x if x + 2 = 4?,1,2,3,4,B,1,Yes,
25,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
26,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
27,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
28,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
29,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
30,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
31,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
32,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
33,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
34,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
35,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
36,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
37,Number,What is 12 + 13?,23,24,25,26,C,2,Yes,
38,Number,What is 8 + 11?,17,18,19,20,C,2,Yes,
39,Number,What is 13 + 15?,26,27,28,29,C,2,Yes,
40,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
41,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
42,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
43,Number,What is 18 + 10?,26,27,28,29,C,2,Yes,
44,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
45,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
46,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
47,Number,What is 2 + 16?,16,17,18,19,C,2,Yes,
48,Number,What is 16 + 2?,16,17,18,19,C,2,Yes,
49,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
50,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
51,Algebra,What is x if x + 9 = 18?,8,9,10,11,B,1,Yes,
52,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
53,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
54,Algebra,What is x if x + 4 = 8?,3,4,5,6,B,1,Yes,
55,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
56,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
57,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
58,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
59,Algebra,What is x if x + 10 = 20?,9,10,11,12,B,1,Yes,
60,Algebra,What is x if x + 3 = 6?,2,3,4,5,B,1,Yes,
61,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
62,Angles,Angles on a straight line equal?,90,180,270,360,B,1,Yes,
63,Ratio,Simplify ratio 2:4,1:2,2:3,2:1,4:2,A,0,Yes,
64,Number,What is 8 + 18?,24,25,26,27,C,2,Yes,
65,Probability,Probability of heads on fair coin?,0,0.25,0.5,1,C,2,Yes,
66,Algebra,What is x if x + 7 = 14?,6,7,8,9,B,1,Yes,
67,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
68,Geometry,How many degrees in a triangle?,90,180,270,360,B,1,Yes,
